start,130,2017,long,lat,22,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,355,292,88.75,17.0,-11494590,99825.81,128.5,13.0149,85.24691,31.35269,0.0,0.2323291,0.005840858,60.77619,12306440000.0,2017.0,6.0,9.0,9.0
,357,290,89.25,17.5,-11126220,99784.19,87.75,11.98178,83.88424,31.35269,0.0,0.2381254,0.003098765,23.48558,4697599000.0,2017.0,6.0,9.0,10.0
,357,290,89.25,17.5,-11109710,99779.25,100.0,12.47558,84.65092,31.35269,0.0,0.2399177,0.002531815,17.34469,4337259000.0,2017.0,6.0,9.0,11.0
,357,289,89.25,17.75,-11175210,99805.94,127.5,11.41768,84.24258,36.74033,0.0,0.2366251,0.0003921303,1.057217,1049358000.0,2017.0,6.0,9.0,12.0
,357,289,89.25,17.75,-11260820,99870.94,99.0,11.21215,84.17238,36.74033,0.0,0.2260985,0.001028107,4.488242,2873388000.0,2017.0,6.0,9.0,13.0
,357,288,89.25,18.0,-11344200,99952.75,149.5,9.968059,83.66165,36.74033,0.0,0.2125284,0.00119514,5.625315,3305373000.0,2017.0,6.0,9.0,14.0
,357,288,89.25,18.0,-11409900,100014.1,141.25,9.550045,83.33209,36.74033,0.0,0.1993555,0.001043531,4.589616,3341919000.0,2017.0,6.0,9.0,15.0
,357,287,89.25,18.25,-11488290,100036.2,181.0,9.555635,83.1601,36.74033,0.0,0.1975641,0.002580916,17.85169,7822527000.0,2017.0,6.0,9.0,16.0
,357,287,89.25,18.25,-11643080,100069.2,197.75,9.394064,84.12872,36.74033,0.0,0.1945147,0.003301316,25.82552,10763160000.0,2017.0,6.0,9.0,17.0
,356,287,89.0,18.25,-11852680,100022.9,246.0,9.501074,85.1496,36.74033,0.0,0.2026388,0.002814715,20.33153,7436657000.0,2017.0,6.0,9.0,18.0
,355,287,88.75,18.25,-12106900,99968.88,254.0,9.020899,85.95197,36.74033,0.0,0.2102521,0.002876891,21.00891,8202233000.0,2017.0,6.0,9.0,19.0
,355,287,88.75,18.25,-12377340,99909.62,254.5,8.652977,86.96042,36.74033,0.0,0.2203591,0.003345299,26.34335,10422010000.0,2017.0,6.0,9.0,20.0
,354,286,88.5,18.5,-12602120,99831.88,277.25,8.12147,87.97359,36.74033,0.0,0.23006,0.005869264,61.22009,16420820000.0,2017.0,6.0,9.0,21.0
,355,287,88.75,18.25,-12449110,99764.81,371.75,9.387435,87.32043,36.74033,0.0,0.2457662,0.007059993,80.76532,22003380000.0,2017.0,6.0,9.0,22.0
,354,287,88.5,18.25,-12534460,99766.0,383.5,9.761641,88.21024,36.74033,0.0,0.2421973,0.005250791,51.80308,14719930000.0,2017.0,6.0,9.0,23.0
,354,287,88.5,18.25,-12713550,99833.44,348.0,10.24594,89.00434,36.74033,0.0,0.2319239,0.003627557,29.74678,9335843000.0,2017.0,6.0,10.0,0.0
,353,287,88.25,18.25,-12949260,99917.0,294.0,10.02256,89.35976,36.74033,0.0,0.2185691,0.003944074,33.72377,10709590000.0,2017.0,6.0,10.0,1.0
,352,287,88.0,18.25,-13192430,99925.38,329.0,11.0005,90.31084,36.74033,0.0,0.2164883,0.005243912,51.70132,14131620000.0,2017.0,6.0,10.0,2.0
,352,287,88.0,18.25,-13437620,99926.44,340.75,11.91738,90.1254,36.74033,0.0,0.2068272,0.004371528,39.35214,11568520000.0,2017.0,6.0,10.0,3.0
,352,288,88.0,18.0,-13632160,99959.31,261.0,12.78947,90.11165,36.74033,0.0,0.2060585,0.00371113,30.78064,10695390000.0,2017.0,6.0,10.0,4.0
,352,288,88.0,18.0,-13779230,99956.62,259.75,13.62741,90.33314,36.74033,0.0,0.2120894,0.00427741,38.08814,11076780000.0,2017.0,6.0,10.0,5.0
,353,288,88.25,18.0,-13885950,99898.88,275.5,14.22745,90.39607,36.74033,0.0,0.2221313,0.002546429,17.49507,7133877000.0,2017.0,6.0,10.0,6.0
,353,288,88.25,18.0,-13992790,99847.56,240.0,15.00531,89.77216,36.74033,0.0,0.2304964,0.003129915,23.8406,5927755000.0,2017.0,6.0,10.0,7.0
,353,288,88.25,18.0,-14120670,99755.62,238.5,14.96447,89.01539,36.74033,0.0,0.2405839,0.005076023,49.23838,10509200000.0,2017.0,6.0,10.0,8.0
,353,288,88.25,18.0,-14238360,99716.56,164.75,13.9695,88.4106,36.74033,0.0,0.2489675,0.006616282,73.27224,17354620000.0,2017.0,6.0,10.0,9.0
